timestamp_ms,speed,g_force,temp,humidity,lux,altitude
0,0.0,0.0,22.5,45.2,850,150.0
1000,15.2,0.3,22.6,45.1,845,150.2
2000,28.5,0.6,22.7,45.0,840,150.5
3000,42.3,0.9,22.8,44.9,835,151.0
4000,55.8,1.2,23.0,44.8,830,151.5
5000,68.4,1.5,23.2,44.7,825,152.0
6000,79.2,1.8,23.5,44.6,820,152.5
7000,87.5,2.1,23.8,44.5,815,153.0
8000,93.2,2.4,24.0,44.4,810,153.5
9000,96.8,2.6,24.2,44.3,805,154.0
10000,98.5,2.7,24.4,44.2,800,154.5
11000,99.2,2.8,24.6,44.1,795,155.0
12000,99.8,2.8,24.8,44.0,790,155.5
13000,100.0,2.9,25.0,43.9,785,156.0
14000,98.5,2.7,25.1,43.8,780,156.5
15000,95.2,2.4,25.2,43.7,775,157.0
16000,89.8,2.0,25.3,43.6,770,157.5
17000,82.4,1.6,25.2,43.7,765,158.0
18000,73.5,1.2,25.1,43.8,760,158.5
19000,62.8,0.9,25.0,43.9,755,159.0
20000,50.5,0.6,24.8,44.0,750,159.5
21000,38.2,0.4,24.6,44.1,745,160.0
22000,25.8,0.2,24.4,44.2,740,160.5
23000,15.4,0.1,24.2,44.3,735,161.0
24000,8.2,0.0,24.0,44.4,730,161.5
25000,2.5,0.0,23.8,44.5,725,162.0
26000,0.0,0.0,23.6,44.6,720,162.5
